city,name,address,postal_code,latitude,longitude,open_weekend,open_holidays,open_time,close_time,fee_per_hour,cashless_payment,ev_charging,total_spots,source_url
Berlin,Tiefgarage Plaza,"Mildred-Harnack-Straße 11-13, 10243 Berlin",10243,52.5055937,13.4396388,TRUE,TRUE,0,24,3.5,TRUE,10,400,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-plaza-berlin--ci3cp113078649
Berlin,Parkhaus Spandau Altstädter Ring,"Altstädter Ring 20, 13597 Berlin",13597,52.5389832,13.1987721,TRUE,TRUE,0,24,2.5,TRUE,27,300,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-spandau-altstaedter-ring-berlin--ci3cp30441
Berlin,Parkplatz Charité Campus Virchow Klinikum,"Seestraße 4-5, 13353 Berlin",13353,52.5426876,13.3357716,TRUE,TRUE,0,24,2,FALSE,0,70,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-charite-campus-virchow-klinikum-berlin--ci3cp30512
Berlin,Tiefgarage Los-Angeles-Platz,"Rankestraße 27-29, 10789 Berlin",10789,52.5021211,13.3307546,TRUE,TRUE,0,24,4,TRUE,50,230,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-los-angeles-platz-berlin--ci3cp30301
Berlin,Tiefgarage Kranzler Eck,"Kantstraße 160, 10623 Berlin",10623,52.5050232,13.3281256,TRUE,TRUE,0,24,4,TRUE,3,545,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-kranzler-eck-berlin--ci3cp10221
Berlin,Parkplatz Forum Landsberger Allee,"Storkower Straße 156A, 10407 Berlin",10407,52.5304162,13.4526001,TRUE,TRUE,0,24,1.5,TRUE,0,50,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-forum-landsberger-allee-berlin--ci3cp112679707
Berlin,Parkhaus Steglitzer Kreisel,"Schloßstraße 74, 12165 Berlin",12165,52.4551721,13.3171321,TRUE,TRUE,0,24,2.5,TRUE,0,645,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-steglitzer-kreisel-berlin--ci3cp10231
Berlin,Tiefgarage Hauptbahnhof P1,"Clara-Jaschke-Straße 88, 10557 Berlin",10557,52.5238649,13.3627072,TRUE,TRUE,0,24,3.3,TRUE,0,814,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-hauptbahnhof-p1-berlin--ci3cp14451
Berlin,Parkhaus Arena,"Helen-Ernst-Straße 2-4, 10243 Berlin",10243,52.5072286,13.4386837,TRUE,TRUE,0,24,3.5,TRUE,8,871,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-arena-berlin--ci3cp113078669
Berlin,Tiefgarage Leibniz Kolonnaden,"Leibnizstraße 49-53, 10629 Berlin",10629,52.5020883,13.3109273,TRUE,TRUE,0,24,3,TRUE,0,358,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-leibniz-kolonnaden-berlin--ci3cp11611
Berlin,Parkhaus Der Clou,"Kapweg, 13405 Berlin",13405,52.5624646,13.3260193,FALSE,FALSE,6,23,1,FALSE,0,428,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-der-clou-berlin--ci3cp11761
Berlin,Parkhaus Südkreuz P1,"Lotte-Laserstein-Straße, 10829 Berlin",10829,52.4749978,13.3609632,TRUE,TRUE,0,24,2.5,TRUE,1,205,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-suedkreuz-p1-berlin--ci3cp14461
Berlin,Tiefgarage Center am Potsdamer Platz,"Bellevuestraße 3, 10785 Berlin",10785,52.5104149,13.3709754,TRUE,TRUE,0,24,2,TRUE,0,788,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-center-am-potsdamer-platz-berlin--ci3cp116813391
Berlin,Tiefgarage Kulturbrauerei,"Sredzkistraße 1, 10435 Berlin",10435,52.5401971,13.4108995,TRUE,TRUE,0,24,1.5,TRUE,0,247,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-kulturbrauerei-berlin--ci3cp11061
Berlin,Parkhaus Neukölln Arcaden,"Erlanger Straße Neukölln Arcaden, 12053 Berlin",12053,52.481961,13.4264709,TRUE,TRUE,0,24,1.2,TRUE,0,514,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-neukoelln-arcaden-berlin--ci3cp11881
Berlin,Parkhaus Europa-Center,"Nürnberger Straße 5 - 7, 10787 Berlin",10787,52.5043443,13.3378167,TRUE,TRUE,0,24,2.5,TRUE,0,954,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-europa-center-berlin--ci3cp10011
Berlin,Parkplatz Ostbahnhof P1,"Am Ostbahnhof, 10243 Berlin",10243,52.5100763,13.4277879,TRUE,TRUE,0,24,2,TRUE,0,113,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-ostbahnhof-p1-berlin--ci3cp12252
Berlin,Parkhaus Forum Landsberger Allee,"Storkower Straße 156A, 10407 Berlin",10407,52.5304162,13.4526001,TRUE,TRUE,0,24,1.5,TRUE,8,409,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkhaus-forum-landsberger-allee-berlin--ci3cp112678559
Berlin,Tiefgarage Living Berlin,"Uhlandstraße 9-10, 10623 Berlin",10623,52.5061172,13.3221984,TRUE,TRUE,0,24,3,TRUE,0,158,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-living-berlin-berlin--ci3cp10031
Berlin,Parkplatz Krankenhaus Waldfriede,"Argentinische Allee 40, 14163 Berlin",14163,52.4443965,13.2377386,TRUE,TRUE,0,24,2,TRUE,0,60,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/parkplatz-krankenhaus-waldfriede-berlin--ci3cp115462418
Berlin,Tiefgarage Zehlendorfer Welle,"Clayallee 328-334, 14169 Berlin",14169,52.4376101,13.260613,TRUE,TRUE,0,24,1.5,TRUE,0,351,https://www.mein-contipark.de/parkplatz-finden/parken-in-berlin/tiefgarage-zehlendorfer-welle-berlin--ci3cp10201
